FG,Pos,AST,G,Player,Age,BLK,PTS,FTA,TOV,TRB,StartYr,EndYr,SalStartYr,SalEndYr,Salary,salary_cap,salary_cap_adjusted,years_of_exp,Per_salary_cap
1.7,C,0.8,80,Mark Acres,27,0.3,4.5,1.5,0.9,5.4,1989,1990,1990,1991,437000.0,9802000,19182059,0,0.04458273821669047
5.0,PG,6.3,79,Michael Adams,27,0.0,15.5,4.0,1.8,2.8,1989,1990,1990,1991,825000.0,9802000,19182059,0,0.08416649663334014
5.6,SF,1.9,78,Mark Aguirre,30,0.2,14.1,3.3,1.6,3.9,1989,1990,1990,1991,1115000.0,9802000,19182059,0,0.11375229544990818
6.7,PG,6.0,75,Danny Ainge,30,0.2,17.9,3.6,2.5,4.3,1989,1990,1990,1991,725000.0,9802000,19182059,0,0.07396449704142012
4.5,PF,1.7,82,Mark Alarie,26,0.5,10.5,1.6,1.2,4.6,1989,1990,1990,1991,500000.0,9802000,19182059,0,0.05100999795960008
1.5,PG,1.0,41,Steve Alford,25,0.1,4.1,0.9,0.4,0.6,1989,1990,1990,1991,250000.0,9802000,19182059,0,0.02550499897980004
3.7,PF,0.4,60,Greg Anderson,25,0.9,8.8,2.8,1.3,6.2,1989,1990,1990,1991,1365000.0,9802000,19182059,0,0.13925729442970822
4.6,SG,1.5,81,Nick Anderson,22,0.4,11.5,3.3,1.7,3.9,1989,1990,1990,1991,725000.0,9802000,19182059,0,0.07396449704142012
4.9,SF,1.8,78,Ron Anderson,31,0.2,11.9,2.5,1.0,3.8,1989,1990,1990,1991,425000.0,9802000,19182059,0,0.04335849826566007
6.5,SG,4.4,82,Willie Anderson,23,0.7,15.7,3.5,2.4,4.5,1989,1990,1990,1991,725000.0,9802000,19182059,0,0.07396449704142012
3.2,SF,0.6,72,Michael Ansley,22,0.2,8.7,3.2,0.7,5.0,1989,1990,1990,1991,200000.0,9802000,19182059,0,0.020403999183840033
1.9,PG,5.5,54,John Bagley,29,0.1,4.3,0.7,1.7,1.6,1989,1990,1990,1991,550000.0,9802000,19182059,0,0.05611099775556009
5.7,SF,1.7,82,Thurl Bailey,28,1.2,14.2,3.5,1.7,5.0,1989,1990,1990,1991,1000000.0,9802000,19182059,0,0.10201999591920016
1.5,PF,0.3,52,Ken Bannister,29,0.1,4.0,2.1,0.8,2.2,1989,1990,1990,1991,400000.0,9802000,19182059,0,0.040807998367680065
8.9,SF,3.9,79,Charles Barkley,26,0.6,25.2,9.4,3.1,11.5,1989,1990,1990,1991,2900000.0,9802000,19182059,0,0.2958579881656805
3.7,PG,2.5,81,Dana Barros,22,0.0,9.7,1.4,1.5,1.6,1989,1990,1990,1991,500000.0,9802000,19182059,0,0.05100999795960008
4.6,SG,2.6,60,John Battle,27,0.1,10.9,2.3,1.5,1.7,1989,1990,1990,1991,590000.0,9802000,19182059,0,0.060191797592328095
1.6,SG,0.6,59,Kenny Battle,25,0.2,4.1,1.4,0.5,2.1,1989,1990,1990,1991,350000.0,9802000,19182059,0,0.03570699857172006
1.3,C,0.1,42,William Bedford,26,0.4,2.8,0.5,0.5,1.4,1989,1990,1990,1991,850000.0,9802000,19182059,0,0.08671699653132015
5.1,C,2.2,71,Benoit Benjamin,25,2.6,13.5,4.5,2.6,9.3,1989,1990,1990,1991,1750000.0,9802000,19182059,0,0.17853499285860028
2.5,SF,1.0,55,Winston Bennett,24,0.2,6.1,1.7,1.1,3.4,1989,1990,1990,1991,525000.0,9802000,19182059,0,0.05356049785758009
9.6,SF,7.5,75,Larry Bird,33,0.8,24.3,4.6,3.2,9.5,1989,1990,1990,1991,1500000.0,9802000,19182059,0,0.15302999387880026
7.8,SG,3.6,80,Rolando Blackman,30,0.3,19.4,4.3,2.2,3.5,1989,1990,1990,1991,1650000.0,9802000,19182059,0,0.16833299326668028
4.2,PG,4.2,50,Mookie Blaylock,22,0.3,10.1,1.6,2.2,2.8,1989,1990,1990,1991,525000.0,9802000,19182059,0,0.05356049785758009
4.0,PG,10.7,81,Muggsy Bogues,25,0.0,9.4,1.7,1.8,2.6,1989,1990,1990,1991,805000.0,9802000,19182059,0,0.08212609671495613
0.7,C,0.5,75,Manute Bol,27,3.2,1.9,0.7,0.7,3.7,1989,1990,1990,1991,1300000.0,9802000,19182059,0,0.13262599469496023
5.1,C,1.3,68,Sam Bowie,28,1.8,14.7,5.6,1.8,10.1,1989,1990,1990,1991,2000000.0,9802000,19182059,0,0.20403999183840033
3.7,C,1.2,81,Randy Breuer,29,1.3,8.9,2.4,1.2,5.1,1989,1990,1990,1991,1150000.0,9802000,19182059,0,0.1173229953070802
2.7,C,1.3,78,Frank Brickowski,30,0.5,6.6,1.8,1.2,4.2,1989,1990,1990,1991,905000.0,9802000,19182059,0,0.09232809630687615
1.7,PG,2.9,72,Scott Brooks,24,0.0,4.4,0.8,0.5,0.9,1989,1990,1990,1991,295000.0,9802000,19182059,0,0.030095898796164047
2.8,SF,0.7,75,Chucky Brown,21,0.3,7.3,2.2,0.9,3.1,1989,1990,1990,1991,630000.0,9802000,19182059,0,0.0642725974290961
2.2,C,0.6,82,Mike Brown,26,0.3,6.2,2.4,1.1,4.5,1989,1990,1990,1991,650000.0,9802000,19182059,0,0.06631299734748011
1.4,SF,0.7,61,Tony Brown,29,0.1,3.6,0.9,0.8,1.2,1989,1990,1990,1991,50000.0,9802000,19182059,0,0.005100999795960008
1.2,PF,0.2,58,Mark Bryant,24,0.2,2.9,0.9,0.4,2.5,1989,1990,1990,1991,405000.0,9802000,19182059,0,0.04131809834727607
4.0,C,0.9,82,Michael Cage,28,0.5,9.7,2.6,1.1,10.0,1989,1990,1990,1991,910000.0,9802000,19182059,0,0.09283819628647215
0.8,PF,0.1,51,Adrian Caldwell,23,0.4,1.9,0.5,0.6,2.1,1989,1990,1990,1991,275000.0,9802000,19182059,0,0.028055498877780045
8.8,SG,2.6,82,Tony Campbell,27,0.4,23.2,6.9,3.1,5.5,1989,1990,1990,1991,1200000.0,9802000,19182059,0,0.1224239951030402
4.6,PF,1.5,77,Antoine Carr,28,0.9,12.3,3.9,1.6,4.2,1989,1990,1990,1991,610000.0,9802000,19182059,0,0.0622321975107121
4.1,C,1.3,76,Joe Barry Carroll,31,1.5,10.0,2.3,1.9,5.8,1989,1990,1990,1991,350000.0,9802000,19182059,0,0.03570699857172006
4.1,C,2.0,71,Bill Cartwright,32,0.5,11.4,3.9,1.7,6.5,1989,1990,1990,1991,1100000.0,9802000,19182059,0,0.11222199551112018
7.4,PF,1.0,74,Terry Catledge,26,0.2,19.4,6.6,2.4,7.6,1989,1990,1990,1991,1085000.0,9802000,19182059,0,0.11069169557233217
10.0,PF,2.3,81,Tom Chambers,30,0.6,27.2,8.0,2.7,7.0,1989,1990,1990,1991,2060000.0,9802000,19182059,0,0.21016119159355234
7.0,SG,2.4,54,Rex Chapman,22,0.1,17.5,3.6,1.9,3.3,1989,1990,1990,1991,675000.0,9802000,19182059,0,0.0688634972454601
3.8,PG,5.6,81,Maurice Cheeks,33,0.1,9.7,2.5,1.5,3.0,1989,1990,1990,1991,1000000.0,9802000,19182059,0,0.10201999591920016
1.9,SF,0.6,55,Derrick Chievous,22,0.1,5.3,2.0,0.8,1.6,1989,1990,1990,1991,525000.0,9802000,19182059,0,0.05356049785758009
1.9,PG,2.0,73,Steve Colter,27,0.1,4.9,1.3,0.5,2.4,1989,1990,1990,1991,300000.0,9802000,19182059,0,0.03060599877576005
2.9,PG,4.7,82,Lester Conner,30,0.1,7.9,2.6,1.7,3.2,1989,1990,1990,1991,900000.0,9802000,19182059,0,0.09181799632728015
1.7,C,0.6,79,Wayne Cooper,33,1.2,3.8,0.5,0.5,4.3,1989,1990,1990,1991,1100000.0,9802000,19182059,0,0.11222199551112018
6.4,SF,2.6,82,Tyrone Corbin,27,0.5,14.7,2.5,1.7,7.4,1989,1990,1990,1991,830000.0,9802000,19182059,0,0.08467659661293614
1.8,C,0.3,6,Dave Corzine,33,0.0,3.7,0.3,1.3,3.0,1989,1990,1990,1991,300000.0,9802000,19182059,0,0.03060599877576005
9.0,PF,2.7,81,Terry Cummings,28,0.6,22.4,5.4,2.5,8.4,1989,1990,1990,1991,1860000.0,9802000,19182059,0,0.1897571924097123
6.9,SG,2.4,67,Dell Curry,25,0.4,16.0,1.6,1.5,2.5,1989,1990,1990,1991,900000.0,9802000,19182059,0,0.09181799632728015
3.2,SG,1.1,30,Quintin Dailey,29,0.0,8.2,2.2,1.1,1.7,1989,1990,1990,1991,425000.0,9802000,19182059,0,0.04335849826566007
5.1,SF,1.8,45,Adrian Dantley,34,0.2,14.7,5.6,1.7,3.8,1989,1990,1990,1991,400000.0,9802000,19182059,0,0.040807998367680065
6.0,C,3.2,41,Brad Daugherty,24,0.5,16.8,7.0,2.7,9.1,1989,1990,1990,1991,1320000.0,9802000,19182059,0,0.1346663946133442
2.5,PG,3.3,73,Brad Davis,34,0.1,6.4,1.4,1.2,1.3,1989,1990,1990,1991,600000.0,9802000,19182059,0,0.0612119975515201
1.9,PF,0.4,63,Terry Davis,22,0.4,4.7,1.4,1.1,3.6,1989,1990,1990,1991,250000.0,9802000,19182059,0,0.02550499897980004
7.2,SG,2.2,69,Walter Davis,35,0.1,17.5,3.3,1.5,2.6,1989,1990,1990,1991,900000.0,9802000,19182059,0,0.09181799632728015
5.7,PG,7.4,81,Johnny Dawkins,26,0.1,14.3,3.0,2.6,3.0,1989,1990,1990,1991,1500000.0,9802000,19182059,0,0.15302999387880026
3.3,C,0.9,82,Vlade Divac,21,1.4,8.5,2.6,1.3,6.2,1989,1990,1990,1991,770000.0,9802000,19182059,0,0.07855539685778412
3.5,C,0.8,73,James Donaldson,32,0.6,9.1,2.9,1.6,8.6,1989,1990,1990,1991,880000.0,9802000,19182059,0,0.08977759640889614
5.7,PG,7.6,81,Sherman Douglas,23,0.1,14.3,4.0,3.0,2.5,1989,1990,1990,1991,325000.0,9802000,19182059,0,0.033156498673740056
0.4,C,0.2,49,Greg Dreiling,27,0.3,1.3,0.7,0.4,1.8,1989,1990,1990,1991,300000.0,9802000,19182059,0,0.03060599877576005
2.1,PG,2.7,80,Larry Drew,31,0.1,5.2,0.8,1.2,1.2,1989,1990,1990,1991,550000.0,9802000,19182059,0,0.05611099775556009
