True,Player,SalStartYr,FG,FTA,AST,TRB,PTS,BLK,years_of_exp,Pos,Salary,salary_before,Cluster
A.C. Green,0,1,4.7,5.6,1.4,9.3,13.6,0.4,7,2,1750000.0,1750000.0,0
A.C. Green,0,2,4.6,4.6,1.4,8.7,12.8,0.5,8,2,1885000.0,1750000.0,0
A.C. Green,0,3,5.7,4.4,1.7,9.2,14.7,0.5,9,2,6472600.0,1885000.0,0
A.C. Green,0,4,3.8,4.2,1.5,8.2,11.2,0.4,10,8,6473000.0,6472600.0,0
A.C. Green,0,5,2.6,2.9,0.9,6.8,7.5,0.3,11,8,4851000.0,6473000.0,0
A.C. Green,0,6,2.8,2.4,0.8,7.9,7.2,0.2,12,2,5095088.0,4851000.0,0
A.C. Green,0,7,3.0,2.0,1.5,8.1,7.3,0.3,13,2,5125088.0,5095088.0,0
A.C. Green,0,8,2.2,1.0,0.5,4.6,4.9,0.2,14,2,1700000.0,5125088.0,0
A.C. Green,0,9,2.1,1.2,1.0,5.9,5.0,0.2,15,2,2250000.0,1700000.0,0
A.J. English,1,1,4.5,2.2,1.8,2.1,10.9,0.1,2,12,406000.0,325000.0,0
Aaron Brooks,2,18,4.0,2.2,3.0,2.0,11.2,0.1,2,5,1118520.0,1045560.0,0
Aaron Brooks,2,19,7.0,3.6,5.3,2.6,19.6,0.2,3,5,2016692.0,1118520.0,0
Aaron Brooks,2,22,2.7,1.0,2.2,1.5,7.1,0.2,5,5,1027424.0,2016692.0,0
Aaron Brooks,2,23,3.2,1.3,3.2,1.9,9.0,0.2,6,5,915243.0,1027424.0,0
Aaron Brooks,2,24,4.2,2.1,3.2,2.0,11.6,0.2,7,5,2250000.0,915243.0,0
Aaron Brooks,2,25,2.7,0.9,2.6,1.5,7.1,0.1,8,5,2700000.0,2250000.0,0
Aaron Brooks,2,26,1.9,0.6,1.9,1.1,5.0,0.1,9,5,2116955.0,2700000.0,0
Aaron Gordon,3,25,3.5,2.5,1.6,6.5,9.2,0.7,2,2,4351320.0,4171680.0,0
Aaron Gordon,3,26,4.9,2.7,1.9,5.1,12.7,0.5,3,8,5504419.0,4351320.0,0
Aaron Gordon,3,27,6.5,3.9,2.3,7.9,17.6,0.8,4,2,21590909.0,5504419.0,2
Aaron Gordon,3,28,6.0,3.2,3.7,7.4,16.0,0.7,5,2,19863636.0,21590909.0,2
Aaron Gordon,3,29,5.4,3.6,3.7,7.7,14.4,0.6,6,2,18136364.0,19863636.0,2
Aaron Gray,4,18,1.4,1.1,0.8,3.9,3.5,0.3,2,0,1000497.0,711517.0,0
Aaron Gray,4,23,0.7,0.5,0.6,3.0,1.8,0.2,7,0,1227985.0,1000497.0,0
Aaron Harrison,5,26,0.0,0.4,0.6,0.6,0.2,0.0,2,12,174570.0,365289.0,0
Aaron Holiday,6,29,3.5,1.3,3.4,2.4,9.5,0.2,2,5,2345640.0,2239200.0,0
Aaron McKie,7,5,4.2,2.5,2.5,3.8,10.7,0.3,2,12,1040000.0,845000.0,0
Aaron McKie,7,6,1.8,1.3,1.9,2.7,5.2,0.3,3,12,1235000.0,1040000.0,0
Aaron McKie,7,7,1.7,0.7,2.2,2.9,4.1,0.2,4,15,1430000.0,1235000.0,0
Aaron McKie,7,8,1.9,1.2,2.0,2.8,4.8,0.1,5,12,1624000.0,1430000.0,0
Aaron McKie,7,9,3.0,1.8,2.9,3.0,8.0,0.2,6,12,1842480.0,1624000.0,0
Aaron McKie,7,10,4.4,2.6,5.0,4.1,11.6,0.1,7,12,4000000.0,1842480.0,0
Aaron McKie,7,11,4.6,2.5,3.7,4.0,12.2,0.3,8,12,4500000.0,4000000.0,0
Aaron McKie,7,12,3.6,1.7,3.5,4.4,9.0,0.1,9,8,5000000.0,4500000.0,0
Aaron McKie,7,13,3.5,1.5,2.6,3.4,9.2,0.3,10,8,5500000.0,5000000.0,0
Aaron McKie,7,14,0.9,0.2,1.5,2.5,2.2,0.3,11,12,8500000.0,5500000.0,1
Aaron McKie,7,15,0.2,0.1,0.8,1.4,0.5,0.0,12,5,8070874.0,8500000.0,1
Aaron Williams,8,6,2.6,1.5,0.5,4.3,6.2,0.9,3,3,500000.0,8070874.0,0
Aaron Williams,8,7,1.8,1.3,0.2,2.3,4.6,0.6,4,2,575000.0,500000.0,0
Aaron Williams,8,8,1.3,1.9,0.6,3.2,4.0,0.6,5,2,1100000.0,575000.0,0
Aaron Williams,8,9,2.9,2.5,0.7,5.0,7.6,1.1,6,2,2250000.0,1100000.0,0
Aaron Williams,8,10,3.6,3.8,1.1,7.2,10.2,1.4,7,2,2475000.0,2250000.0,0
Aaron Williams,8,11,2.8,2.3,0.9,4.1,7.2,0.9,8,2,2700000.0,2475000.0,0
Aaron Williams,8,12,2.5,1.6,1.1,4.1,6.2,0.7,9,0,2925000.0,2700000.0,0
Aaron Williams,8,13,2.4,2.2,1.1,4.1,6.3,0.6,10,0,3790257.0,2925000.0,0
Aaron Williams,8,16,0.8,0.6,0.2,2.2,2.0,0.4,13,2,1890000.0,3790257.0,0
Abdel Nader,9,28,1.5,0.6,0.3,1.9,4.0,0.2,2,8,1618520.0,1378242.0,0
Abdel Nader,9,29,2.2,1.2,0.7,1.8,6.3,0.4,3,8,1752950.0,1618520.0,0
Acie Earl,10,5,2.8,2.7,0.6,3.1,7.5,0.9,3,0,1235000.0,845000.0,0
Acie Earl,10,6,1.4,1.8,0.4,2.0,4.0,0.6,4,0,1430000.0,1235000.0,0
Acie Law,11,18,0.9,1.1,1.6,1.1,2.9,0.1,2,5,2216160.0,2071680.0,0
Acie Law,11,19,1.3,1.9,1.0,0.7,4.3,0.0,3,5,859087.0,2216160.0,0
Adam Keefe,12,5,2.2,2.5,0.8,5.5,6.1,0.5,4,2,1950000.0,1200000.0,0
Adam Keefe,12,6,1.3,1.7,0.5,3.5,3.8,0.2,5,0,2300000.0,1950000.0,0
Adam Keefe,12,8,1.3,2.0,0.6,3.2,4.0,0.3,7,2,3000000.0,2300000.0,0
Adam Keefe,12,9,0.9,0.6,0.5,2.2,2.2,0.2,8,0,3400000.0,3000000.0,0
Adam Morrison,13,18,1.5,0.4,0.8,1.5,4.0,0.1,2,8,5257229.0,3887880.0,0
Adonal Foyle,14,12,2.3,1.3,0.5,6.0,5.4,2.5,6,0,4400000.0,1701000.0,0
Adreian Payne,15,25,1.0,0.5,0.6,2.1,2.5,0.2,2,2,2022240.0,1938840.0,0
Adreian Payne,15,26,1.3,1.1,0.4,1.8,3.5,0.4,3,2,77250.0,2022240.0,0
Adrian Caldwell,16,6,0.9,1.1,0.3,3.7,2.2,0.2,5,2,292250.0,77250.0,0
Adrian Griffin,17,10,0.8,0.5,0.6,2.0,2.1,0.1,2,8,565850.0,508000.0,0
Adrian Griffin,17,11,3.1,0.8,1.8,3.9,7.2,0.2,3,12,637435.0,565850.0,0
Adrian Griffin,17,12,2.0,0.4,1.4,3.6,4.4,0.1,4,12,751179.0,637435.0,0
Adrian Griffin,17,13,0.3,0.2,0.5,1.0,0.6,0.1,5,12,870046.0,751179.0,0
Adrian Griffin,17,14,0.8,0.6,0.8,2.1,2.2,0.1,6,8,768718.0,870046.0,0
Adrian Griffin,17,15,1.9,1.0,1.7,4.4,4.6,0.2,7,12,1475000.0,768718.0,0
